actor_id,name
1121,Desmond Tester
1122,Dexter Fletcher
1123,Diana Dors
1124,Diana Körner
1125,Diana Rigg
1126,Diana Ross
1127,Diane Baker
1128,Diane Clare
1129,Diane Keaton
1130,Diane Kruger
1131,Diane Ladd
1132,Diane Lane
1133,Diane Pershing
1134,Diane Salinger
1135,Diane Varsi
1136,Diane Venora
1137,Dianna Agron
1138,Dianne Wiest
1139,Dick Foran
1140,Dick Haymes
1141,Dick Powell
1142,Dick Rude
1143,Dick Sargent
1144,Dick Shawn
1145,Dick Van Dyke
1146,Dick York
1147,Dick van Dyke
1148,Diedrich Bader
1149,Diego Sieres
1150,Dina Merrill
1151,Dina Meyer
1152,Dirk Bogarde
1153,Diva Gray
1154,Divine
1155,Djiby Soumare
1156,Djimon Hounsou
1157,Do Thi Hai Yen
1158,Dobrosław Mater
1159,Dolly Parton
1160,Dolly Read
1161,Dolores Costello
1162,Dolores Dorn
1163,Dolores Gray
1164,Dolores Moran
1165,Dolph Lundgren
1166,Dom DeLuise
1167,Dominic Purcell
1168,Dominique Dunne
1169,Dominique Pinon
1170,Dominique Sanda
1171,Dominique Swain
1172,Don Alder
1173,Don Alvarado
1174,Don Ameche
1175,Don Borisenko
1176,Don Cheadle
1177,Don DeFore
1178,Don Diamond
1179,Don Dillaway
1180,Don Duong
1181,Don Gordon
1182,Don Harvey
1183,Don Johnson
1184,Don McKellar
1185,Don Pedro Colley
1186,Don Rickles
1187,Don Steele
1188,Don Stroud
1189,Don Taylor
1190,Don Thompson
1191,Donal Logue
1192,Donal O'Kelly
1193,Donald Calthrop
1194,Donald Crisp
1195,Donald Curtis
1196,Donald Gibb
1197,Donald Moffat
1198,Donald O'Connor
1199,Donald Pleasence
1200,Donald Sutherland
1201,Donald Wolfit
1202,Donald Woods
1203,Donna Dixon
1204,Donna Reed
1205,Donna Wilkens
1206,Donnie Wahlberg
1207,Donovan Leitch
1208,Dora Bryan
1209,Dorian Harewood
1210,Doris Davenport
1211,Doris Day
1212,Doris Hare
1213,Doris Lloyd
1214,Doro Merande
1215,Dorothy Dandridge
1216,Dorothy Hart
1217,Dorothy Hyson
1218,Dorothy Malone
1219,Dorothy Patrick
1220,Dorothy Provine
1221,Dorothy Tutin
1222,Dorsey Wright
1223,Doug E. Doug
1224,Doug McClure
1225,Doug McKeon
1226,Douglas Fairbanks Jr.
1227,Douglas Fowley
1228,Douglas Spencer
1229,Douglas Wilmer
1230,Dougray Scott
1231,Dre Puhich
1232,Drew Barrymore
1233,Duane Jones
1234,Dudley Moore
1235,Duilio del Prete
1236,Duke Moore
1237,Duncan Regehr
1238,Dustin Hoffman
1239,Dwayne Hickman
1240,Dwayne Johnson
1241,Dwight Frye
1242,Dwight Yoakam
1243,Dyan Cannon
1244,Dyana Ortelli
1245,Dylan Baker
1246,Dylan McDermott
1247,Dylan Walsh
1248,E.G. Marshall
1249,Earl Holliman
1250,Earl Pastko
1251,Earl Rowe
1252,Earle Foxe
1253,Eartha Kitt
1254,Ed Begley
1255,Ed Begley Jr.
1256,Ed Bernard
1257,Ed Flanders
1258,Ed Harris
1259,Ed Lauter
1260,Ed O'Neill
1261,Ed Quinn
1262,Eddie Albert
1263,Eddie Barth
1264,Eddie Firestone
1265,Eddie Griffin
1266,Eddie Marsan
1267,Eddie Mayehoff
1268,Eddie Murphy
1269,Eddie ›Rochester‹ Anderson
1270,Edgar Allan Woolf
1271,Edgar Buchanan
1272,Edgar Kennedy
1273,Edie Adams
1274,Edie Falco
1275,Edith Evans
1276,Edith Massey
1277,Edmond O'Brien
1278,Edmond O`Brian
1279,Edmund Breon
1280,Edmund Gwenn
1281,Edmund MacDonald
1282,Edouard Nikitine
1283,Eduard von Winterstein
1284,Eduardo Ciannelli
1285,Edward Albert
1286,Edward Andrews
1287,Edward Arnold
1288,Edward Asner
1289,Edward Burns
1290,Edward Byrnes
1291,Edward Chapman
1292,Edward Everett Horton
1293,Edward Fox
1294,Edward Furlong
1295,Edward G. Robinson
1296,Edward G. Robinson Jr.
1297,Edward Herrmann
1298,Edward James Olmos
1299,Edward Judd
1300,Edward Norton
1301,Edward Power
1302,Edward Rigby
1303,Edward Woodward
1304,Efrem Zimbalist Jr.
